"DOMSURE";"01";"AIN";"01270";"01147";""
"DORTAN";"01";"AIN";"01590";"01148";""
"DOUVRES";"01";"AIN";"01500";"01149";""
"DROM";"01";"AIN";"01250";"01150";""
"DRUILLAT";"01";"AIN";"01160";"01151";""
"ECHALLON";"01";"AIN";"01130";"01152";""
"ECHENEVEX";"01";"AIN";"01170";"01153";""
"ETREZ";"01";"AIN";"01340";"01154";""
"EVOSGES";"01";"AIN";"01230";"01155";""
"FARAMANS";"01";"AIN";"01800";"01156";""
"FAREINS";"01";"AIN";"01480";"01157";""
"FARGES";"01";"AIN";"01550";"01158";""
"FEILLENS";"01";"AIN";"01570";"01159";""
"FERNEY-VOLTAIRE";"01";"AIN";"01210";"01160";""
"FLAXIEU";"01";"AIN";"01350";"01162";""
"FOISSIAT";"01";"AIN";"01340";"01163";""
"FRANCHELEINS";"01";"AIN";"01090";"01165";""
"FRANS";"01";"AIN";"01480";"01166";""
"GARNERANS";"01";"AIN";"01140";"01167";""
"GENOUILLEUX";"01";"AIN";"01090";"01169";""
"BEARD-GEOVREISSIAT";"01";"AIN";"01460";"01170";""
"GEOVREISSET";"01";"AIN";"01100";"01171";""
"GERMAGNAT";"01";"AIN";"01250";"01172";""
"GEX";"01";"AIN";"01170";"01173";""
"GIRON";"01";"AIN";"01130";"01174";""
"GORREVOD";"01";"AIN";"01190";"01175";""
"GRAND-ABERGEMENT";"01";"AIN";"01260";"01176";"LE"
"GRAND-CORENT";"01";"AIN";"01250";"01177";""
"GRIEGES";"01";"AIN";"01290";"01179";""
"GRILLY";"01";"AIN";"01220";"01180";""
"GROISSIAT";"01";"AIN";"01100";"01181";""
"GROSLEE";"01";"AIN";"01680";"01182";""
"GUEREINS";"01";"AIN";"01090";"01183";""
"HAUTECOURT-ROMANECHE";"01";"AIN";"01250";"01184";""
"HAUTEVILLE-LOMPNES";"01";"AIN";"01110";"01185";""
"HOSTIAZ";"01";"AIN";"01110";"01186";""
"HOTONNES";"01";"AIN";"01260";"01187";""
"ILLIAT";"01";"AIN";"01140";"01188";""
"INJOUX-GENISSIAT";"01";"AIN";"01200";"01189";""
"INNIMOND";"01";"AIN";"01680";"01190";""
"IZENAVE";"01";"AIN";"01430";"01191";""
"IZERNORE";"01";"AIN";"01580";"01192";""
"IZIEU";"01";"AIN";"01300";"01193";""
